Event Number,Call Received,Complaint Number,Shift,Tencode,Tencode Description,Tencode Suffix,Tencode Suffix Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Sector,Zone,Reporting Area (RPA),Latitude,Longitude,Mapped Location
PD201800001046,01/01/2018 09:22:00 AM,20180000899,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,800,MURFREESBORO PKE ,310A,S,15,8801,36.134,-86.724,"(36.134, -86.724)"
PD201800002954,01/01/2018 11:37:00 PM,20180002546,,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,4500,POST RD ,125C,W,21,5017,36.128,-86.852,"(36.128, -86.852)"
PD201800003049,01/02/2018 12:11:00 AM,20180002858,C,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,200,WILSONIA AV ,123C,W,21,5001,36.126,-86.862,"(36.126, -86.862)"
PD201800005874,01/02/2018 05:40:00 PM,20180005204,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,1800,EASTSIDE AV ,227B,E,13,1039,36.168,-86.738,"(36.168, -86.738)"
PD201800007725,01/03/2018 05:12:00 AM,20180007078,C,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,1400,HILLMEADE DR ,121A,W,21,4903,36.086,-86.902,"(36.086, -86.902)"
PD201800008785,01/03/2018 11:31:00 AM,20180007842,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,2200,CRESTMOOR RD ,117A,W,17,6109,36.109,-86.814,"(36.109, -86.814)"
PD201800009002,01/03/2018 12:41:00 PM,20180008088,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1000,HAWKINS ST ,823A,MT,21,6801,36.148,-86.783,"(36.148, -86.783)"
PD201800012912,01/04/2018 11:45:00 AM,20180011547,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,400,WALTON LN ,2S42,E,25,1899,36.232,-86.75,"(36.232, -86.75)"
PD201800013271,01/04/2018 01:58:00 PM,20180011906,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,500,MAINSTREAM DR ,611A,N,11,4443,36.2,-86.808,"(36.2, -86.808)"
PD201800015326,01/05/2018 12:53:00 AM,20180013699,C,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,3900,DRAKES BRANCH RD ,627C,N,25,3125,36.209,-86.857,"(36.209, -86.857)"
PD201800016584,01/05/2018 09:22:00 AM,20180014880,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,200,DINWIDDIE DR ,727A,M,27,1719,36.284,-86.704,"(36.284, -86.704)"
PD201800016628,01/05/2018 09:35:00 AM,20180014922,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,5200,DAKOTA AV ,113A,W,13,5123,36.148,-86.85,"(36.148, -86.85)"
PD201800017166,01/05/2018 12:38:00 PM,20180015413,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,700,DREXEL ST ,4B41,C,23,4023,36.152,-86.779,"(36.152, -86.779)"
PD201800018303,01/05/2018 06:42:00 PM,20180016394,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,800,CLARK PL ,421B,C,23,4041,36.155,-86.781,"(36.155, -86.781)"
PD201800018329,01/05/2018 06:49:00 PM,20180016373,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,2800,CLIFTON AV ,615B,N,15,5343,36.158,-86.819,"(36.158, -86.819)"
PD201800018468,01/05/2018 07:30:00 PM,20180016553,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,2400,DALEBROOK CT ,211B,E,15,1353,36.183,-86.721,"(36.183, -86.721)"
PD201800019206,01/05/2018 11:16:00 PM,20180017093,,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,200,LINDSAY MEADOW CT ,614C,N,21,3023,36.228,-86.794,"(36.228, -86.794)"
PD201800020571,01/06/2018 10:42:00 AM,20180018376,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,300,WIMPOLE DR ,2925,S,15,8803,36.12,-86.724,"(36.12, -86.724)"
PD201800020650,01/06/2018 11:23:00 AM,20180018448,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,900,PATRICIA DR ,533A,H,31,8827,36.136,-86.704,"(36.136, -86.704)"
PD201800021874,01/06/2018 08:08:00 PM,20180019432,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,500,OPRY MILLS DR ,821C9,H,15,9209,36.206,-86.695,"(36.206, -86.695)"
PD201800022219,01/06/2018 10:25:00 PM,20180019759,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,300,4TH AV S ,425C,C,25,4053,36.157,-86.775,"(36.157, -86.775)"
PD201800026587,01/08/2018 10:50:00 AM,20180023689,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,4100,BUENAVIEW CT ,623A,N,23,3107,36.226,-86.83,"(36.226, -86.83)"
PD201800026992,01/08/2018 01:48:00 PM,20180024024,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1200,2ND AV S ,3S51,S,11,8167,36.145,-86.764,"(36.145, -86.764)"
PD201800027283,01/08/2018 03:39:00 PM,20180024275,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,1800,WEST END AV ,815B,MT,11,5523,36.153,-86.797,"(36.153, -86.797)"
PD201800030347,01/09/2018 11:48:00 AM,20180027027,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,500,UNION ST ,4B45,C,11,4141,36.164,-86.781,"(36.164, -86.781)"
