School Year,School Level,School ID,School Name,State School ID,Zip Code,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
18-19,Elementary School,496,A. Z. Kelley Elementary,1,37013,,38,154,145,172,178,153,,,,,,,,,,102,308,215,,215,420,420,246,81,288,36.0218171181,-86.6588477794,"(36.0218171181, -86.6588477794)"
18-19,Elementary School,375,Alex Green Elementary,5,37189,,32,52,46,39,32,57,,,,,,,,,1,,208,31,,18,120,138,169,16,25,36.2529606982,-86.8322291988,"(36.2529606982, -86.8322291988)"
18-19,Elementary School,105,Amqui Elementary,10,37115,3,29,92,77,89,77,95,,,,,,,,,,2,202,186,,72,233,229,215,45,123,36.2737658523,-86.7038315283,"(36.2737658523, -86.7038315283)"
18-19,Elementary School,460,Andrew Jackson Elementary,15,37138,2,30,95,89,91,111,91,,,,,,,,,1,18,147,67,1,275,255,254,86,62,31,36.2315846536,-86.6237746868,"(36.2315846536, -86.6237746868)"
18-19,High School,110,Antioch High School,20,37013,,,,,,,,,,,,471,483,569,484,,86,719,749,2,451,1090,917,643,218,539,36.0466746426,-86.5994183274,"(36.0466746426, -86.5994183274)"
18-19,Middle School,111,Antioch Middle,23,37013,,,,,,,,170,238,196,167,,,,,,65,247,348,3,108,390,381,322,95,387,36.0553789673,-86.6718298856,"(36.0553789673, -86.6718298856)"
18-19,Middle School,577,Apollo Middle,25,37013,,,,,,,,214,237,217,173,,,,,2,40,268,376,,155,440,401,368,105,377,36.0668779764,-86.6640697109,"(36.0668779764, -86.6640697109)"
18-19,Middle School,130,Bellevue Middle,40,37221,,,,,,,,194,167,169,159,,,,,2,38,227,87,,335,350,339,182,104,84,36.0707487921,-86.9348203609,"(36.0707487921, -86.9348203609)"
18-19,Elementary School,135,Bellshire Elementary,45,37207,14,41,70,56,57,64,57,,,,,,,,,,1,302,28,,28,164,195,236,54,26,36.2696876639,-86.7623002629,"(36.2696876639, -86.7623002629)"
18-19,Charter,118,Brick Church College Prep,118,37207,,,,,,,,78,80,58,69,,,,,3,2,225,36,,19,155,130,190,8,47,36.2207385771,-86.7817524484,"(36.2207385771, -86.7817524484)"
18-19,Elementary School,165,Buena Vista Elementary,70,37208,,32,30,47,41,44,41,,,,,,,,,,,212,12,1,10,112,123,183,36,9,36.1777411585,-86.7981380508,"(36.1777411585, -86.7981380508)"
18-19,Elementary School,419,Cambridge Early Learning Center,7005,37013,,131,,,,,,,,,,,,,,,4,66,17,,44,64,67,42,6,,36.0603500916,-86.641017433,"(36.0603500916, -86.641017433)"
18-19,Charter,181,Cameron College Preparatory,8010,37210,,,,,,,,154,171,139,140,,,,,,7,159,380,,58,305,299,306,76,365,36.148592789,-86.7639990186,"(36.148592789, -86.7639990186)"
18-19,Elementary School,184,Cane Ridge Elementary,82,37013,,32,106,106,109,105,88,50,,,,,,,,4,17,281,143,,151,294,302,191,42,206,36.0397196657,-86.6181506279,"(36.0397196657, -86.6181506279)"
18-19,High School,182,Cane Ridge High School,77,37013,,,,,,,,,,,,388,481,446,432,3,159,692,600,3,290,915,832,515,191,474,36.0302884296,-86.621230214,"(36.0302884296, -86.621230214)"
18-19,Elementary School,185,Carter-Lawrence Elementary,670,37203,,19,46,46,61,58,65,,,,,,,,,1,2,239,20,1,32,146,149,141,30,40,36.1436534419,-86.7858534926,"(36.1436534419, -86.7858534926)"
18-19,Elementary School,186,Casa Azafran Early Learning Center,7020,37211,3,75,,,,,,,,,,,,,,1,1,14,32,,30,37,41,9,5,,36.1265171601,-86.7533987496,"(36.1265171601, -86.7533987496)"
18-19,Elementary School,200,Chadwell Elementary,105,37115,,16,55,57,61,66,73,,,,,,,,,3,5,184,93,,43,165,163,175,43,57,36.25637022,-86.7416710943,"(36.25637022, -86.7416710943)"
18-19,Elementary School,205,Charlotte Park Elementary,110,37209,2,34,81,95,93,85,68,,,,,,,,,,37,94,224,,103,248,210,168,59,204,36.1512452389,-86.8837135472,"(36.1512452389, -86.8837135472)"
18-19,Elementary School,215,Cockrill Elementary,120,37209,3,38,51,57,59,68,59,,,,,,,,,,6,161,105,,63,165,170,188,46,70,36.1562064576,-86.8451449272,"(36.1562064576, -86.8451449272)"
18-19,Elementary School,225,Cole Elementary,130,37013,,75,142,148,131,130,126,,,,,,,,,1,92,79,458,1,121,371,381,343,66,382,36.0583352576,-86.6986202084,"(36.0583352576, -86.6986202084)"
18-19,Special Education,448,Cora Howe School,443,37206,,,,,7,1,7,8,4,10,10,9,7,16,20,,1,59,6,,33,80,19,39,97,5,36.1889302687,-86.7345832942,"(36.1889302687, -86.7345832942)"
18-19,Middle School,783,Creswell Middle School of the Arts,700,37218,,,,,,,,121,104,93,109,,,,,2,1,362,12,,50,158,269,168,51,4,36.1960632171,-86.8375393872,"(36.1960632171, -86.8375393872)"
18-19,Elementary School,235,Crieve Hall Elementary,145,37220,,,114,88,87,108,78,,,,,,,,,2,78,38,114,2,241,233,242,56,34,134,36.0657457496,-86.7581030533,"(36.0657457496, -86.7581030533)"
18-19,Middle School,238,Croft Middle,148,37211,,,,,,,,218,191,178,166,,,,,,23,160,352,,218,384,369,230,84,291,36.0874749426,-86.7341476906,"(36.0874749426, -86.7341476906)"
18-19,Elementary School,240,Cumberland Elementary,150,37218,,,46,54,51,62,70,,,,,,,,,,1,229,23,3,27,139,144,204,38,12,36.2120690993,-86.866568623,"(36.2120690993, -86.866568623)"
18-19,Elementary School,560,Dan Mills Elementary,160,37216,1,32,122,104,100,103,89,,,,,,,,,3,8,83,78,1,378,276,275,100,50,39,36.2186382608,-86.7170839527,"(36.2186382608, -86.7170839527)"
18-19,Elementary School,252,Dodson Elementary,165,37076,1,26,91,75,85,73,78,,,,,,,,,1,9,241,62,,116,210,219,217,58,59,36.1909084815,-86.6033179312,"(36.1909084815, -86.6033179312)"
18-19,Middle School,260,Donelson Middle,175,37214,,,,,,,,200,214,188,175,,,,,2,14,351,154,3,253,394,383,335,117,145,36.1667225726,-86.656336234,"(36.1667225726, -86.656336234)"
18-19,Elementary School,265,Dupont Elementary,180,37138,,36,59,74,58,78,65,,,,,,,,,,6,92,37,,235,188,182,163,41,20,36.2613820968,-86.652625791,"(36.2613820968, -86.652625791)"
18-19,Middle School,270,Dupont-Hadley Middle,190,37138,,,,,,,,154,161,156,173,,,,,1,8,192,75,2,366,353,291,197,100,50,36.2497784913,-86.6427891084,"(36.2497784913, -86.6427891084)"
18-19,Middle School,275,Dupont-Tyler Middle,185,37076,,,,,,,,167,131,152,151,,,,,3,17,262,154,1,164,301,300,237,89,146,36.1996225114,-86.6125957599,"(36.1996225114, -86.6125957599)"
18-19,Elementary School,278,Eagle View Elementary,115,37013,,35,105,105,91,86,90,,,,,,,,,2,13,278,130,,89,270,242,193,31,159,,,
18-19,Elementary School,280,Eakin Elementary,195,37212,,,114,100,119,113,109,,,,,,,,,1,52,223,32,,247,270,285,100,73,41,36.1351431922,-86.8076066846,"(36.1351431922, -86.8076066846)"
18-19,Charter,286,East End Preparatory School,8009,37216,,,111,115,114,113,114,106,110,89,,,,,,1,9,669,128,,65,418,454,394,76,47,36.2069950352,-86.7182717708,"(36.2069950352, -86.7182717708)"
18-19,Middle School,296,East Nashville Middle,296,37206,,,,,,,,83,100,106,88,,,,,,2,343,11,1,20,183,194,184,58,12,36.1888616451,-86.7332427155,"(36.1888616451, -86.7332427155)"
18-19,High School,290,East Nashville School,203,37206,,,,,,,,,,,,178,186,196,156,1,5,657,19,,34,316,400,235,57,4,36.1806264426,-86.7504713705,"(36.1806264426, -86.7504713705)"
18-19,Charter,305,Explore Community School,8060,37206,,,67,70,72,67,,,,,,,,,,1,2,135,14,,123,134,142,96,37,5,36.1743641454,-86.7516488877,"(36.1743641454, -86.7516488877)"
18-19,Elementary School,308,Fall-Hamilton Elementary,220,37203,8,44,64,64,54,43,44,,,,,,,,,,5,207,64,,45,172,149,142,50,46,36.1334718393,-86.7662062825,"(36.1334718393, -86.7662062825)"
