Stop ID Number,Stop Abbreviation,StopName,Shelter,Bench,Route Number,Route Name,Longitude,Latitude,Mapped Location
1788,100OAKS,100 OAKS MALL,1,1,1,VINE HILL,-86.762639,36.106851,"(36.106851, -86.762639)"
1792,POWPOWNM,POWELL AVE & POWELL PL NB,0,0,1,VINE HILL,-86.765569,36.108232,"(36.108232, -86.765569)"
1785,BRAEIRNN,BRANSFORD AVE & EAST IRIS DR NB,0,1,1,VINE HILL,-86.76628,36.116603,"(36.116603, -86.766280)"
1787,BRABERNM,BRANSFORD AVE & BERRY RD NB,0,0,1,VINE HILL,-86.765494,36.121603,"(36.121603, -86.765494)"
461,BRAROSNN,BRANSFORD AVE & ROSEDALE AVE NB,0,0,1,VINE HILL,-86.765827,36.124624,"(36.124624, -86.765827)"
454,BRACRANF,BRANSFORD AVE & CRAIGHEAD ST NB,0,0,1,VINE HILL,-86.765965,36.12615,"(36.126150, -86.765965)"
456,BRABENNN,BRANSFORD AVE & BENTON AVE NB,0,0,1,VINE HILL,-86.768317,36.131533,"(36.131533, -86.768317)"
463,BRAWEDNN,BRANSFORD AVE & WEDGEWOOD AVE NB,0,0,1,VINE HILL,-86.768817,36.132468,"(36.132468, -86.768817)"
2206,CHEMARWM,CHESTNUT ST & MARTIN ST WB,0,0,1,VINE HILL,-86.770883,36.14307,"(36.143070, -86.770883)"
635,CHEFOREN,CHESTNUT ST & FORT NEGLEY BLVD EB,0,1,1,VINE HILL,-86.775425,36.142249,"(36.142249, -86.775425)"
889,FORCHENM,FORT NEGLEY BLVD & CHESTNUT ST NB,0,0,1,VINE HILL,-86.776322,36.14632,"(36.146320, -86.776322)"
4177,6THLAFNN,6TH AVE & LAFAYETTE,0,0,1,VINE HILL,-86.775233,36.152857,"(36.152857, -86.775233)"
2588,LAF5AEN,GREYHOUND STATION - LAFAYETTE ST & 5TH AVE S,1,0,1,VINE HILL,-86.773315,36.152481,"(36.152481, -86.773315)"
736,DEM6AEN,DEMONBREUN ST & 6TH AVE EB,0,0,1,VINE HILL,-86.778603,36.157738,"(36.157738, -86.778603)"
2610,5ABRONN,5TH AVE S & BROADWAY AVE NB,0,0,1,VINE HILL,-86.778373,36.160429,"(36.160429, -86.778373)"
228,5ACOMNN,5TH AVE N & COMMERCE ST NB,0,0,1,VINE HILL,-86.779169,36.161732,"(36.161732, -86.779169)"
226,5AVCHUNN,5TH AVE N & CHURCH ST NB,1,1,1,VINE HILL,-86.780078,36.163054,"(36.163054, -86.780078)"
224,5AVCHUNM,5TH AVE N & THE ARCADE NB,0,0,1,VINE HILL,-86.780627,36.163938,"(36.163938, -86.780627)"
243,6AVCHUSN,6TH AVE N & CHURCH ST SB,0,0,1,VINE HILL,-86.781601,36.162833,"(36.162833, -86.781601)"
702,6AVCOMSN,6TH AVE N & COMMERCE ST SB,0,1,1,VINE HILL,-86.780728,36.161447,"(36.161447, -86.780728)"
247,6AOAKSN,6TH AVE S & OAK ST SB,0,0,1,VINE HILL,-86.772303,36.148073,"(36.148073, -86.772303)"
352,FORVINSM,FORT NEGLEY BLVD & VINE ST SB,0,0,1,VINE HILL,-86.776445,36.146517,"(36.146517, -86.776445)"
890,CHEFOREM,CHESTNUT ST & FORT NEGLEY BLVD EB,0,0,1,VINE HILL,-86.774589,36.142159,"(36.142159, -86.774589)"
640,CHEMAREN,CHESTNUT ST & MARTIN ST EB,0,0,1,VINE HILL,-86.769849,36.143403,"(36.143403, -86.769849)"
1419,MARWEDSN,MARTIN ST & WEDGEWOOD AVE SB,0,0,1,VINE HILL,-86.770473,36.133607,"(36.133607, -86.770473)"
1991,WEDBRAEN,WEDGEWOOD AVE & BRANSFORD AVE EB,0,0,1,VINE HILL,-86.769002,36.133255,"(36.133255, -86.769002)"
452,BRABENSF,BRANSFORD AVE & BENTON AVE SB,0,0,1,VINE HILL,-86.768385,36.131479,"(36.131479, -86.768385)"
2207,BRACRASN,BRANSFORD AVE & CRAIGHEAD ST SB,0,0,1,VINE HILL,-86.766278,36.126148,"(36.126148, -86.766278)"
460,BRAROSSF,BRANSFORD AVE  & ROSEDALE AVE SB,0,0,1,VINE HILL,-86.765931,36.124353,"(36.124353, -86.765931)"
1939,THOPOWEM,THOMPSON LN & POWELL AVE EB,0,0,1,VINE HILL,-86.764776,36.112013,"(36.112013, -86.764776)"
1940,THOEIREF,THOMPSON LN & EAST IRIS DR,0,0,1,VINE HILL,-86.762652,36.111799,"(36.111799, -86.762652)"
1941,THOKRAEF,THOMPSON LN & KRAFT DR,0,0,1,VINE HILL,-86.757596,36.111311,"(36.111311, -86.757596)"
1788,100OAKS,100 OAKS MALL,1,1,1,VINE HILL,-86.762639,36.106851,"(36.106851, -86.762639)"
243,6AVCHUSN,6TH AVE N & CHURCH ST SB,0,0,2,BELMONT,-86.781601,36.162833,"(36.162833, -86.781601)"
702,6AVCOMSN,6TH AVE N & COMMERCE ST SB,0,1,2,BELMONT,-86.780728,36.161447,"(36.161447, -86.780728)"
265,8ABROSN,8TH AVE S & BROADWAY AVE SB,1,0,2,BELMONT,-86.782225,36.159008,"(36.159008, -86.782225)"
264,8ABROSF,8TH AVE S & BROADWAY AVE SB,0,0,2,BELMONT,-86.781861,36.158455,"(36.158455, -86.781861)"
288,8ADEMSN,8TH AVE S & DEMONBREUN ST SB,0,0,2,BELMONT,-86.780929,36.156975,"(36.156975, -86.780929)"
282,8ASHISN,8TH AVE S & SHIRLEY ST SB,0,0,2,BELMONT,-86.77982,36.155187,"(36.155187, -86.779820)"
267,8ADRESN,8TH AVE S & DREXEL ST SB,0,0,2,BELMONT,-86.779394,36.152687,"(36.152687, -86.779394)"
272,8ADIVSN,8TH AVE S & DIVISION ST SB,0,0,2,BELMONT,-86.779301,36.150067,"(36.150067, -86.779301)"
