District Number,School Number,District Name,School Name,Overall Composite,Literacy Composite,Numeracy Composite,Literacy and Numeracy Composite,Science Composite,Social Studies Composite
10,2,Anderson County,Anderson County High School,5,1,5,3,5,1
10,5,Anderson County,Andersonville Elementary,5,4,5,5,5,4
10,10,Anderson County,Briceville Elementary,5,4,4,4,5,3
10,15,Anderson County,Claxton Elementary,5,3,5,5,5,1
10,20,Anderson County,Clinton Middle School,1,1,3,1,1,1
10,25,Anderson County,Clinton High School,4,3,3,3,3,5
10,35,Anderson County,Dutch Valley Elementary,4,3,5,4,3,3
10,40,Anderson County,Fairview Elementary,3,3,4,4,1,1
10,46,Anderson County,Grand Oaks Elementary,5,5,5,5,5,4
10,50,Anderson County,Lake City Elementary,2,2,4,3,1,3
10,55,Anderson County,Lake City Middle School,5,4,5,5,5,1
10,70,Anderson County,Norris Elementary,3,3,3,4,3,3
10,75,Anderson County,Norris Middle School,2,1,3,2,,
10,80,Anderson County,Norwood Elementary,5,3,5,5,5,1
10,85,Anderson County,Norwood Middle School,4,3,3,3,5,1
11,5,Clinton City,Clinton Elementary,5,5,5,5,4,1
11,10,Clinton City,North Clinton Elementary,3,4,3,4,1,3
11,15,Clinton City,South Clinton Elementary,5,3,5,5,3,3
12,15,Oak Ridge City,Glenwood Elementary,3,3,3,3,,
12,25,Oak Ridge City,Jefferson Middle School,1,1,1,1,1,4
12,30,Oak Ridge City,Linden Elementary,2,3,2,2,,
12,35,Oak Ridge City,Oak Ridge High School,5,5,5,5,5,5
12,40,Oak Ridge City,Robertsville Middle School,3,4,2,3,5,2
12,45,Oak Ridge City,Willow Brook Elementary,3,3,3,3,,
12,50,Oak Ridge City,Woodland Elementary,3,1,4,3,,
20,12,Bedford County,Cascade Elementary,4,4,5,5,3,1
20,13,Bedford County,Cascade High School,4,3,3,3,3,5
20,15,Bedford County,Eakin Elementary,1,1,1,1,3,1
20,17,Bedford County,Cascade Middle School,3,2,5,3,1,5
20,20,Bedford County,Shelbyville Central High School,1,1,2,1,1,4
20,25,Bedford County,Harris Middle School,1,1,3,1,1,1
20,33,Bedford County,Community Elementary School,3,3,3,3,5,3
20,35,Bedford County,Community High School,1,1,1,1,1,1
20,37,Bedford County,Community Middle School,1,1,1,1,4,5
20,39,Bedford County,Learning Way Elementary,1,1,1,1,2,1
20,40,Bedford County,East Side Elementary,1,2,1,1,2,3
20,53,Bedford County,Liberty Elementary,1,1,3,1,1,1
20,75,Bedford County,South Side Elementary,1,2,1,1,3,1
20,78,Bedford County,Thomas Magnet,1,2,2,1,3,1
30,10,Benton County,Big Sandy School,4,4,4,4,5,2
30,15,Benton County,Briarwood School,5,5,5,5,4,3
30,25,Benton County,Camden Central High School,5,2,4,3,5,4
30,27,Benton County,Camden Jr High School,5,3,4,3,5,5
30,30,Benton County,Holladay Elementary,1,2,3,2,3,2
40,5,Bledsoe County,Bledsoe County High School,3,1,5,2,4,
40,6,Bledsoe County,Bledsoe County Middle School,1,1,4,1,1,3
40,10,Bledsoe County,Cecil B Rigsby Elementary,4,3,3,3,5,3
40,25,Bledsoe County,Mary V Wheeler Elementary,5,5,2,4,5,5
40,30,Bledsoe County,Pikeville Elementary,5,4,5,5,5,5
50,22,Blount County,Carpenters Elementary School,2,3,1,1,5,5
50,23,Blount County,Carpenters Middle School,1,2,1,1,1,1
50,30,Blount County,Eagleton Middle School,1,1,1,1,1,1
50,43,Blount County,Eagleton Elementary,2,3,4,3,1,3
50,45,Blount County,Fairview Elementary,3,2,5,3,3,3
50,55,Blount County,Friendsville Elementary,5,4,5,5,3,4
50,61,Blount County,Heritage Middle School,1,3,2,2,1,1
50,63,Blount County,Heritage High School,3,1,3,1,5,5
50,70,Blount County,Lanier Elementary,2,2,3,3,1,3
50,84,Blount County,Union Grove Middle School,1,4,3,4,1,2
50,90,Blount County,Mary Blount Elementary,1,1,1,1,3,1
50,93,Blount County,Middlesettlements,1,1,1,1,1,1
50,94,Blount County,Montvale Elementary,2,3,3,3,1,3
50,95,Blount County,Porter Elementary,5,5,2,4,4,5
50,110,Blount County,Rockford Elementary,3,4,1,3,4,1
50,125,Blount County,Townsend Elementary,3,3,3,3,3,1
50,138,Blount County,Union Grove Elementary School,1,1,3,1,2,3
50,145,Blount County,Walland Elementary School,1,3,1,2,1,2
50,155,Blount County,William Blount High School,5,3,4,3,3,5
50,160,Blount County,Prospect Elementary School,3,3,5,5,2,1
51,6,Alcoa City,Alcoa Middle School,5,5,5,5,4,3
51,10,Alcoa City,Alcoa High School,5,5,5,5,5,5
51,12,Alcoa City,Alcoa Intermediate School,2,4,1,2,3,5
52,10,Maryville City,John Sevier Elementary,5,4,5,5,,
52,15,Maryville City,Maryville High School,5,5,5,5,5,3
52,18,Maryville City,Montgomery Ridge Intermediate School,5,3,5,5,5,5
52,20,Maryville City,Maryville Junior High School,5,5,5,5,5,5
52,25,Maryville City,Sam Houston Elementary,5,5,5,5,,
52,30,Maryville City,Foothills Elementary,5,5,4,5,,
52,35,Maryville City,Coulter Grove Intermediate School,5,3,4,4,3,5
60,10,Bradley County,Black Fox Elementary School,3,2,3,3,5,2
60,18,Bradley County,Ocoee Middle School,1,1,1,1,2,1
60,20,Bradley County,Bradley Central High School,5,5,5,5,1,5
60,30,Bradley County,Charleston Elementary School,5,4,3,3,5,4
60,40,Bradley County,Hopewell Elementary School,3,3,1,2,5,5
60,50,Bradley County,Michigan Avenue Elementary School,3,4,3,4,3,2
60,55,Bradley County,North Lee Elementary School,1,3,3,3,1,3
60,60,Bradley County,Oak Grove Elementary School,5,4,5,5,3,1
60,65,Bradley County,Prospect Elementary School,4,5,3,3,5,2
60,70,Bradley County,Taylor Elementary School,3,3,3,3,3,1
60,72,Bradley County,Lake Forest Middle School,4,5,1,5,3,3
60,75,Bradley County,Valley View Elementary School,3,3,4,4,1,5
60,78,Bradley County,Walker Valley High School,5,5,5,5,5,2
60,100,Bradley County,Waterville Community Elementary School,3,4,3,3,1,3
60,102,Bradley County,Park View Elementary School,4,4,5,5,3,3
60,105,Bradley County,Bradley County Virtual School,3,3,3,4,2,3
61,10,Cleveland City,Arnold Memorial Elementary,4,4,4,5,2,3
61,12,Cleveland City,Blythe-Bower Elementary,1,3,1,2,1,2
61,18,Cleveland City,Cleveland Middle,5,3,5,5,5,3
61,20,Cleveland City,Cleveland High,5,5,5,5,5,5
61,22,Cleveland City,E.L. Ross Elementary,4,5,3,4,3,3
61,25,Cleveland City,G.R. Stuart Elementary,3,4,3,4,1,5
